,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,salary
248,Tony Bradley,CHI ,23,18,11,7,12.7,3.6,1.7,2.9,56.6,0.0,0.0,0.0,0.2,0.3,80.0,1.4,2.7,4.1,0.4,0.7,0.1,0.6,1.4,10.2,0,0,2.7,1669178.0
249,Tony Snell,POR ,30,18,8,10,11.0,1.8,0.6,2.0,30.6,0.5,1.6,31.0,0.1,0.1,100.0,0.1,1.2,1.3,0.5,0.2,0.2,0.2,0.9,5.0,0,0,-0.7,1669178.0
250,Willie Cauley-Stein,DAL ,28,18,10,8,9.8,1.9,0.9,1.9,45.7,0.1,0.1,50.0,0.1,0.1,50.0,0.7,1.4,2.1,0.5,0.4,0.3,0.2,0.9,6.3,0,0,1.2,4100000.0
251,Ziaire Williams,MEM ,20,18,9,9,18.6,5.0,1.9,5.4,35.7,0.9,3.6,24.6,0.2,0.3,66.7,0.3,1.3,1.6,0.7,0.6,0.4,0.3,1.8,9.6,0,0,-3.4,4373040.0
252,Blake Griffin,BKN ,32,17,13,4,21.7,5.5,2.0,6.3,31.8,0.5,3.3,16.1,0.9,1.4,69.6,1.2,3.7,4.9,2.0,0.5,0.5,0.6,2.3,17.2,1,0,3.4,1669178.0
253,Cade Cunningham,DET ,20,17,4,13,31.4,14.1,5.2,14.1,37.1,2.1,7.2,28.7,1.6,1.9,84.4,1.0,5.3,6.3,4.6,3.7,1.2,0.6,2.5,30.5,3,1,-4.6,10050120.0
254,Caris LeVert,IND ,27,17,7,10,27.3,14.7,5.8,14.1,41.4,1.2,4.6,25.3,1.9,2.4,78.0,0.4,2.4,2.8,2.9,1.4,0.8,0.4,1.9,24.6,0,0,4.7,17500000.0
255,Damion Lee,GSW ,29,17,14,3,20.8,8.9,3.3,7.5,43.8,1.2,3.6,34.4,1.1,1.4,82.6,0.4,2.7,3.1,1.1,0.6,0.2,0.1,1.3,14.7,0,0,4.2,1910860.0
256,Daniel Theis,HOU ,29,17,3,14,22.8,8.4,3.2,6.5,49.1,0.9,3.0,31.4,1.1,1.4,75.0,1.1,3.8,4.8,0.8,1.2,0.4,0.5,2.5,17.0,1,0,-9.2,8280351.0
257,Deandre Ayton,PHX ,23,17,13,4,30.6,16.5,7.4,11.9,61.9,0.1,0.3,20.0,1.7,2.8,61.7,3.0,8.2,11.2,1.4,1.6,0.8,0.7,2.4,34.9,10,0,1.6,12632950.0
258,Dylan Windler,CLE ,25,17,10,7,10.8,2.8,1.0,2.2,45.9,0.6,1.4,41.7,0.2,0.2,75.0,0.4,1.4,1.8,1.1,0.5,0.2,0.1,1.1,7.0,0,0,-0.9,2239200.0
259,Isaac Okoro,CLE ,20,17,8,9,29.4,7.8,2.8,7.4,37.6,0.7,3.1,23.1,1.5,2.1,74.3,1.5,2.6,4.1,1.9,1.1,0.9,0.3,2.4,18.0,0,0,0.3,6720720.0
260,Jimmy Butler,MIA ,32,17,11,6,34.2,23.6,7.9,15.3,51.9,0.4,1.8,20.0,7.4,8.6,85.0,1.6,4.2,5.8,5.3,1.9,2.1,0.3,1.7,43.8,3,1,2.6,36016200.0
262,Kent Bazemore,LAL ,32,17,8,9,20.4,4.5,1.6,4.8,33.3,0.8,2.5,30.2,0.6,0.8,76.9,0.2,1.8,2.1,0.9,0.5,0.9,0.3,2.5,11.6,0,0,-3.8,1669178.0
263,Killian Hayes,DET ,20,17,4,13,25.9,6.2,2.2,6.5,33.6,1.0,2.8,36.2,0.9,0.9,93.8,0.7,3.1,3.8,3.6,1.6,1.3,0.4,2.7,19.7,1,0,-6.3,5572680.0
264,Malachi Flynn,TOR ,23,17,8,9,8.2,2.5,1.0,2.9,34.0,0.4,1.4,25.0,0.2,0.3,60.0,0.3,1.0,1.3,0.9,0.3,0.5,0.1,0.8,6.9,0,0,-1.4,2048040.0
265,Max Strus,MIA ,25,17,11,6,21.1,8.8,3.1,6.8,45.2,2.0,4.9,40.5,0.6,0.9,68.8,0.3,2.9,3.2,0.9,0.6,0.5,0.1,1.5,15.1,0,0,1.9,1669178.0
266,Nikola Jokic,DEN ,26,17,10,7,32.3,26.1,10.2,17.4,59.0,1.7,4.4,38.7,3.9,5.1,75.9,2.6,10.9,13.6,6.4,3.2,1.1,0.8,2.6,54.3,14,2,8.9,31579390.0
267,Nikola Vucevic,CHI ,31,17,12,5,33.2,15.0,6.2,14.4,42.9,1.6,4.4,36.0,1.1,1.6,64.3,1.7,8.9,10.6,3.9,1.6,1.0,1.0,2.4,38.0,9,0,5.8,24000000.0
268,Robert Williams III,BOS ,24,17,10,7,28.5,9.1,4.1,5.4,75.0,0.0,0.0,0.0,1.0,1.6,63.0,3.6,5.0,8.6,1.2,1.0,0.8,1.9,1.6,28.2,6,0,5.4,3661976.0
269,Rodney Hood,MIL ,29,17,10,7,15.0,3.2,1.0,3.4,29.3,0.6,2.3,28.2,0.5,0.5,100.0,0.3,1.7,2.0,0.8,0.1,0.3,0.1,0.9,7.8,0,0,-1.4,1669178.0
270,Timothe Luwawu-Cabarrot,ATL ,26,17,10,7,8.0,2.6,0.9,2.3,38.5,0.5,1.5,34.6,0.3,0.4,83.3,0.0,1.1,1.1,0.4,0.2,0.1,0.2,0.9,5.2,0,0,-1.6,1669178.0
271,Alex Len,SAC ,28,16,7,9,16.3,6.0,2.3,4.4,50.7,0.4,0.9,42.9,1.1,1.7,66.7,0.9,2.9,3.9,1.0,1.1,0.2,0.9,3.1,14.4,0,0,-1.9,3732000.0
273,Cam Thomas,BKN ,20,16,9,7,10.7,3.9,1.4,4.1,35.4,0.3,1.8,17.9,0.7,0.9,73.3,0.1,1.0,1.1,0.8,0.3,0.4,0.2,0.4,7.8,0,0,-3.3,2036280.0
274,Danny Green,PHI ,34,16,7,9,23.8,7.8,2.8,5.9,46.3,2.1,4.9,41.8,0.3,0.3,100.0,0.7,1.7,2.4,1.0,0.9,1.6,0.7,2.1,18.0,0,0,3.9,10000000.0
275,Danuel House Jr.,HOU ,28,16,7,9,14.5,4.8,1.6,4.6,33.8,0.6,2.1,29.4,1.1,1.2,89.5,0.3,2.4,2.7,1.2,1.1,0.3,0.3,1.0,10.6,0,0,-1.3,3894000.0
276,Dean Wade,CLE ,25,16,7,9,22.4,4.8,1.8,4.5,40.3,0.9,2.9,29.8,0.3,0.4,83.3,0.8,2.5,3.3,1.3,0.3,0.7,0.1,2.0,12.6,0,0,-0.8,1782621.0
277,Derrick Favors,OKC ,30,16,6,10,16.7,5.8,2.6,5.3,48.8,0.1,0.5,25.0,0.5,0.9,57.1,1.5,3.5,5.0,0.4,0.3,0.5,0.1,1.3,13.9,1,0,-5.9,9720900.0
278,Frank Ntilikina,DAL ,23,16,8,8,14.1,5.2,1.8,4.8,36.4,0.9,2.6,36.6,0.8,0.8,100.0,0.2,1.7,1.9,1.4,0.7,0.8,0.2,1.1,11.6,0,0,2.4,1669178.0
279,Goga Bitadze,IND ,22,16,6,10,8.6,2.7,0.9,3.1,28.6,0.3,1.6,16.0,0.7,1.1,64.7,1.0,1.3,2.3,0.2,0.3,0.6,0.6,1.6,9.0,0,0,-1.3,3098400.0
280,Hamidou Diallo,DET ,23,16,1,15,14.5,6.1,2.5,4.8,51.9,0.3,0.9,26.7,0.9,1.1,77.8,0.9,1.9,2.8,0.7,0.7,0.7,0.4,1.7,13.2,0,0,-2.5,5200000.0
281,Jordan McLaughlin,MIN ,25,16,9,7,10.3,1.9,0.7,2.3,30.6,0.2,1.1,17.6,0.3,0.4,71.4,0.1,0.7,0.8,2.1,0.7,0.6,0.0,0.4,7.0,0,0,-2.9,2000000.0
282,Justise Winslow,LAC ,25,16,10,6,8.0,2.1,0.9,2.5,37.5,0.1,0.5,12.5,0.1,0.3,50.0,0.5,1.7,2.2,1.1,0.9,0.4,0.3,0.7,7.7,0,0,-0.6,3902439.0
283,Keita Bates-Diop,SAS ,25,16,6,10,13.7,3.1,1.3,2.9,45.7,0.1,0.7,9.1,0.4,0.5,75.0,0.6,2.6,3.2,0.3,0.8,0.4,0.4,0.6,8.9,0,0,3.3,1729217.0
284,Kevin Love,CLE ,33,16,7,9,20.1,10.8,3.4,8.6,40.1,1.6,4.5,34.7,2.3,2.4,94.9,1.3,5.9,7.3,1.9,1.0,0.3,0.3,1.1,22.9,2,0,2.5,31258256.0
285,Khris Middleton,MIL ,30,16,12,4,30.5,17.8,6.3,14.9,41.8,2.1,6.0,34.4,3.2,3.7,86.4,0.4,5.0,5.4,4.9,2.9,1.3,0.2,1.8,33.1,0,0,4.6,35500000.0
286,Matisse Thybulle,PHI ,24,16,10,6,25.5,5.9,2.4,4.8,51.3,0.7,2.3,29.7,0.4,0.4,100.0,0.5,2.1,2.6,1.1,1.1,2.0,1.4,2.1,19.7,0,0,0.3,2840160.0
287,Maurice Harkless,SAC ,28,16,7,9,20.5,4.2,1.6,4.1,38.5,0.6,2.5,22.5,0.5,0.7,72.7,0.2,2.6,2.8,0.6,0.4,0.5,0.5,1.6,11.0,0,0,-0.3,4347600.0
288,Mike Muscala,OKC ,30,16,5,11,14.6,8.6,2.7,5.9,45.3,1.7,3.9,43.5,1.5,1.9,80.0,0.4,2.9,3.3,0.6,0.4,0.4,0.6,1.3,15.9,0,0,0.1,3365385.0
289,Patrick Beverley,MIN ,33,16,8,8,25.4,8.1,3.1,6.7,45.8,1.2,3.5,33.9,0.8,1.1,70.6,1.4,2.9,4.4,4.5,1.2,0.9,1.0,3.1,24.5,1,0,2.7,14320988.0
290,Terence Davis,SAC ,24,16,7,9,16.2,8.4,3.1,7.9,39.4,1.4,4.8,29.9,0.7,0.9,73.3,0.2,2.3,2.4,0.8,1.1,0.8,0.3,2.1,14.5,0,0,1.4,4000000.0
292,Tristan Thompson,SAC ,30,16,7,9,13.8,5.7,2.3,4.3,52.2,0.0,0.0,0.0,1.2,2.1,55.9,2.4,3.1,5.4,0.6,0.7,0.3,0.4,1.7,14.5,0,0,-3.2,9720900.0
293,Wayne Ellington,LAL ,34,16,7,9,20.7,6.6,2.2,5.4,40.2,2.0,5.1,39.5,0.3,0.3,100.0,0.2,1.3,1.5,0.7,0.4,0.4,0.1,0.9,10.8,0,0,0.3,1669178.0
294,Xavier Tillman,MEM ,22,16,9,7,14.0,4.5,1.8,4.3,41.2,0.3,1.3,19.0,0.8,1.0,75.0,1.0,1.9,2.9,1.4,0.7,1.2,0.4,1.0,14.2,0,0,-2.6,1517981.0
